08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,○,,,,,BUX,,,,Chrisostomos,Silver Mist x Lenore Olivier,cane,,P. Tsamtsis,Kartuz cat,ad97,ｸﾘｿｽﾄﾓｽ,ad97,,,,,
,,○,,,,,BUX,,,,Christine,,rhiz,,Hanzel Burley,Aust.,1992Sep ad97,ｸﾘｽﾃｨﾝ,ad97,,,,,
,,○,,,,,BUX Beg'89,,,,Chuck Jaros,,thick/stem,,Lowe,FL,ad97,ﾁｬｯｸ･ｼﾞｬﾛｽ,ad97,,,,,○
,,○,,,,,BUX,,,,Cinammon Hearts,coccinea x Lenore Olivier,cane,,Asmussen,TX,1986 ad97,ｼﾅﾓﾝ･ﾊｰﾂ,ad97,,,,,
,,○,,,,,BUX,,,,Clair Christenson,Symphony x lubbersii,cane,,Nuss,CA,ad97,ｸﾚｱ･ｸﾘｽﾝｿﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Cockscomb　　　　syn. Cocks Comb,,rhiz,,Caviness,OK,ad97,ｺｯｸｽ･ｺｳﾝ,ad97,,,,,○
,,○,,,,,BUX,,,,Committee Meeting,albo-picta x Lenore Olivier,cane,pink,Brad Thompson,CA,1990 ad97,ｺﾐﾃｨ･ﾐｰﾃｨﾝｸﾞ,ad97,,,,,
,,○,,,,,BUX CB,,,,Comtesse de Thelusson,,rex,,Wm Bull  cat.,London,1883 ad97,ｺﾝﾃｽ･ﾄﾞｩ･ﾃﾗｯｿﾝ,ad97,,,,,
,,○,,,,,BUX CB,,,,Comtesse Gabrill de Clerkmont-Tonnere,,rex,,Wm Bull  cat.,London,1883 ad97,ｺﾝﾃｽ･ｶﾞﾌﾞﾘﾙ･ﾄﾞｩ･ｸﾚﾙﾓﾝ･ﾄﾈｰﾙ,ad97,,,,,
,,○,,,,,BUX CB,,,,Consair,,rex,,Wm Bull  cat.,London,1883 ad97,ｺﾝｾｱｰ,ad97,,,,,
,,○,,,,,BUX,,,,Cool Dude,,z,,Caviness,OK,ad97,ｸｰﾙ･ﾃﾞｭｰﾄﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Copperhead,Peggy Frost x Bokit x carrieae,rhiz,pink,Brad Thompson,CA,1993 ad97,ｺﾊﾟｰﾍｯﾄﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Coral Bloomers,Hanna Serr x Orange Rubra,cane,coral,Brad Thompson,CA,1992 ad97,ｺｰﾗﾙ･ﾌﾞﾙｰﾏｰｽ,ad97,,,,,
,,○,,,,,BUX,,,,Corallina de Rochefort,,cane,white/red,R. F.Gh,France,1991Dec ad97,ｺﾗﾘｰﾅ･ﾄﾞｩ･ ﾛｼｪﾌｫｰﾄ,ad97,,,,,○
,,○,,,,,BUX CB,,,,Countess,,rex,,Wm Bull  cat.,London,1883 ad97,ｶｳﾝﾃｽ,ad97,,,,,
,,○,,,,,BUX,,,,Cotton Candy,Orange Rubra x Florence Rita,cane,,Asmussen,TX,1986 ad97,ｺｯﾄﾝ･ｷｬﾝﾃﾞｨ-,ad97,,,,,○
,,○,,,,,BUX,,,,Cowardly,Cleopatra  seedling,rhiz,pink,Brad Thompson,CA,1990 ad97,ｶﾜｰﾄﾞﾘｰ,ad97,,,,,
,,○,,,,,JBS3,,,,Cow Bell,Tiger Bell x kellermannii,shrub,,Murayama M.,Japan,1991 ad97,ｶｳ･ﾍﾞﾙ,ad97,,,,,○
,,○,,,,,BUX,,,,Cracklin Rosie,Silver Mist x unk.,cane,pink,Dworkin,NY,1990 ad97,ｸﾗｯｸﾘﾝ･ﾛｰｼﾞ-,ad97,,,,,○
,,○,,,,,BUX,,,,Crazy Horse,Silver Mist x Pinafore Sport,cane,,Stewart,TX,1990 ad97,ｸﾚｲｼﾞｨ･ﾎｰｽ,ad97,,,,,
,,,,,,,BUX Beg'40,,,,Crown Prince,,tuber hyb.,,George Otten,CA,ad97,ｸﾗｳﾝ･ﾌﾟﾘﾝｽ,ad97,,,,,
,,,,,,,BUX Beg'40,,,,Crown Princess,,tuber hyb.,,George Otten,CA,ad97,ｸﾗｳﾝ･ﾌﾟﾘﾝｾｽ,ad97,,,,,
,,○,,,,,BUX ACL,,,,Crystal Brook,Woodgate Delight x Bedford Delight,rhiz,pink,Clare,Aust.,1992ACL#21ad97,ｸﾘｽﾀﾙ･ﾌﾞﾙｯｸ,ad97,,,,,
,,○,,,,,BUX CB,,,,Crystallina,,rex,,Wm Bull  cat.,London,1883 ad97,ｸﾘｽﾀﾘｰﾅ,ad97,,,,,
,,○,,,,,BUX,,,,Cuddles,Crestaburchii x Baby Douk,rhiz,pink lyla,Kilpatrick,Aust.,1994 Sep/Oct ad97,ｶﾄﾞﾚｽ,ad97,,,,,
,,○,,,,,BUX,,,,Culture Class,dregei Glasgow x Lenore Olivier,shrub,pink,Brad Thompson,CA,1990 ad97,ｶﾙﾁｬｰ･ｸﾗｽ,ad97,,,,,
,,○,,,,,JBS2,,,,Cupid,Freude x Filigree,rex,,Misono I.,Japan,1979 ad97,ｷｭｰﾋﾟｯﾄﾞ,ad97,,,,,○
,,○,,,,,BUX,,,,Cupid's Curl,,rhiz,,Caviness,OK,ad97,ｷｭｰﾋﾟｯｽﾞ･ｶｰﾙ,ad97,,,,,
,,○,,,,,BUX,,,,Curley Fling,,z,,Caviness,OK,ad97,ｶｰﾚｲ・ ﾌﾘﾝｸﾞ,ad97,,,,,
,,○,,,,,JBS3,,,,Curly Romance Grey,Twilight x Helen Blais,rex,,Misono I.,Japan,1979 ad97,ｶｰﾘｰ･ﾛﾏﾝｽ･ｸﾞﾚｲ,ad97,,,,,○
,,○,,,,,ABS R#982,○,Stormy,,Curly Stormy Night,Peggy Frost x Bokit x carrieae,rhiz,pink,Brad Thompson,CA,1993 ad97,ｶｰﾘｰ･ｽﾄｰﾐｨ･ﾅｲﾄ,ad97,,,,植村,○
,,○,,,,,BUX,,,,Dangling Cherrys,Lenore Olivier x pearcei,cane,red,Brad Thompson,CA,1991 ad97,ﾀﾞﾝｸﾞﾘﾝｸ･ﾁｪﾘｰｽﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Dangling Pearls,Lenore Olivier x albo- picta,cane,white,Brad Thompson,CA,1990 ad97,ﾀﾞﾝｸﾞﾘﾝｸﾞ･ﾊﾟｰﾙｽﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Daniel Thompson,Jumbo Jet x Sophie Cecile,cane,pink,Brad Thompson,CA,1992 ad97,ﾀﾞﾆｴﾙ･ﾄﾝﾌﾟｿﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Dark Dreams,Jumbo Jet x Orange Rubra,cane,pink,Brad Thompson,CA,1990 ad97,ﾀﾞｰｸ･ﾄﾞﾘｰﾑｽ,ad97,,,,,
,,○,,,,,BUX,,,,D & D Shadow,,z,,Caviness,OK,ad97,D & D･ｼｬﾄﾞｳ,ad97,,,,,
,,○,,,,,BUX Beg'92,,,,Debbie Kennaway,aconitifolia x Symbegonia sanguinea,cane,,Lowe,FL,p 137 ad97,ﾃﾞﾋﾞｰ･ｹﾅｳｴｲ,ad97,,,,,
,,○,,,,,BUX,,,,De Cups,Jumbo Jet x Lenore Olivier,cane,pink,Brad Thompson,CA,1990 ad97,ﾄﾞｩ･ｶｯﾌﾟｽ,ad97,,,,,
,,○,,,,,BUX,,,,Dede Dinah,Cardinal x unk.,cane,pink,Dworkin,NY,1990 ad97,ﾃﾞﾃﾞ･ﾃﾞｨﾅ,ad97,,,,,
,,○,,,,,AA ashizawa,,,,de Elegans,decora x deliciosa,rhiz,pink,Ashizawa A.,Japan,1969 ad97,ﾄﾞｩ･ｴﾚｶﾞﾝｽ,ad97,,,,,○
,,○,,,,,BUX CB,,,,Delightful,,rex,,Wm Bull  cat.,London,1883 ad97,ﾃﾞﾗｲﾄﾌﾙ,ad97,,,,,
,,○,,,,,AA yamaguchi,,,,Dendenmushi,Tenmoku x Christopher Robin,rex,,Yamaguchi H.,Japan,1995 ad97,ﾃﾞﾝﾃﾞﾝﾑｼ,ad97,,,,,○
,,○,,,,,AA yamaguchi,,,,Desert Dawn,Tenmoku x Christopher Robin,rex,,Yamaguchi H.,Japan,1995 ad97,ﾃﾞｻﾞｰﾄ･ﾄﾞｰﾝ,ad97,,,,,○
,,○,,,,,BUX,,,,Desert Storm,,rhiz,,Caviness,OK,ad97,ﾃﾞｻﾞｰﾄ･ｽﾄｰﾑ,ad97,,,,,
,,○,,,,,BUX CB,,,,Desfontaines,,rex,,Wm Bull  cat.,London,1883 ad97,ﾃﾞｽﾌｫﾝﾃｨﾝｽﾞ,ad97,,,,,
,,○,,,,,BUX,,,,De Udder Cups,Jumbo Jet x Dumbo,cane,pink,Brad Thompson,CA,1992 ad97,ﾄﾞｩ･ｱﾀﾞｰ･ｶｯﾌﾟｽ,ad97,,,,,
,,○,,,,,BUX CB,,,,Diadema,,rex,,Wm Bull  cat.,London,1883 ad97,ﾃﾞｨｱﾃﾞﾏ,ad97,,,,,
,,○,,,,,BUX,,,,Diamond Dreamer,Jumbo Jet x dregei Glasgow,cane,pink,Brad Thompson,CA,1990 ad97,ﾀﾞｲｱﾓﾝﾄﾞ･ﾄﾞﾘｰﾏｰ,ad97,,,,,
,,○,,,,,JBS3,,,,Diamond Rubra,Orell x Aozuru,cane,,Kagouen,Japan,1990 ad97,ﾀﾞｲｱﾓﾝﾄﾞ･ﾙﾌﾞﾗ,ad97,,,,,○
,,○,,,,,BUX CB,,,,Diana,,rex,,Wm Bull  cat.,London,1883 ad97,ﾀﾞｲｱﾅ,ad97,,,,,
,,○,,,,,ABS R#973,,,,Don Case,Jumbo Jet x unk.,cane,pink,Brad Thompson,CA,1990 ad97,ﾄﾞﾝ･ｹｰｽ,ad97,,,,,
,,○,,,,,BUX Beg'93,,,,Don Miller,U062 x Pinafore Sport,cane,red,Stewart,TX,1992pg49ad97,ﾄﾞﾝ･ﾐﾗｰ,ad97,,,,,○
,,○,,,,,BUX,,,,Donna Marie,Philippine cane x Concerto,cane,,Nuss,CA,ad97,ﾄﾞﾅ･ﾏﾘｰ,ad97,,,,,
,,○,,,,,BUX,,,,Donny Thompson,Jumbo Jet x Kristy,cane,pink,Brad Thompson,CA,1992 ad97,ﾄﾞﾆｨ･ﾄ ﾝﾌﾟｿﾝ,ad97,,,,,
,,○,,,,,BUX,,,,Don Weaver,Jumbo Jet x Orange Rubra,cane,pink,Brad Thompson,CA,1990 ad97,ﾄﾞﾝ･ｳｨｰﾊﾞｰ,ad97,,,,,
,,○,,,,,BUX,,,,Dorcas,,rhiz,,Hanzel Burley,Aust.,1992Sep ad97,ﾄﾞｰｶｽ,ad97,,,,,
,,○,,,,,BUX,,,,Dorothy Nightmare,,z,,Caviness,OK,ad97,ﾄﾞﾛｼｰ･ﾅｲﾄﾒｱ,ad97,,,,,
,,○,,,,,BUX,,,,Dorothy's Phantom,,z,,Caviness,OK,ad97,ﾄﾞﾛｼｰｽﾞ･ﾌｧﾝﾄﾑ,ad97,,,,,○
,,○,,,,,BUX,,,,Dorothy's Redwing,,shrub,,Caviness,OK,ad97,ﾄﾞﾛｼｰｽﾞ･ﾚｯﾄﾞｳｨﾝｸﾞ,ad97,,,,,
,,,,,,,BUX AUST,,,,Dorothy  White,,tuber hyb.,,,,Feb92 ad97,ﾄﾞﾛｼｰ･ﾎﾜｲﾄ,ad97,,,,,
,,○,,,,,BUX,,,,Dotted Swiss,,rhiz,,Caviness,OK,ad97,ﾄﾞｯﾃｯﾄ･ｽｲｽ,ad97,,,,,
,,○,,,,,BUX,,,,Down Home,Guy Savard x dichroa,cane,coral,Stewart,TX,1992 ad97,ﾀﾞｳﾝ･ﾎｰﾑ,ad97,,,,,○
,,○,,,,,JBS3,,,,Dragon Fingers,borneensis x Bokit,rhiz,,Misono I.,Japan,1978 ad97,ﾄﾞﾗｺﾞﾝ･ﾌｨﾝｶﾞｰｽ,ad97,,,,,○
,,○,,,,,BUX ACL,,,,Dragon Wing,unnamed x Bedford Delight,rhiz,pink,Clare,Aust.,1992ACL#16ad97,ﾄﾞﾗｺﾞﾝ･ｳｨﾝｸﾞ,ad97,,,,,
高野,O-2,○,,○,,,BUX,○,入,,Dragon Wings,Kristy x Sophie Cecile,cane,pink,Brad Thompson,CA,1992 ad97,ﾄﾞﾗｺﾞﾝ･ｳｨﾝｸﾞｽ,ad97,,,,,○
,,○,,,,,BUX,,,,Dream Lover,Lana x unk.,cane,pink,Dworkin,NY,1990 ad97,ﾄﾞﾘｰﾑ･ﾗﾊﾞｰ,ad97,,,,,
,,○,,,,,BUX Beg'43,,,,Dregei Froebeli,,tuberous,,Knecht,CA,p 164 ad97,ﾄﾞﾚｹﾞｲ･ﾌﾛｳﾍﾞﾘ,ad97,,,,,
,,○,,,,,BUX,,,,Dubble Dipt,Kenlo x coccinea,cane,,Asmussen,TX,1984 ad97,ﾀﾞﾌﾞﾙ･ﾃﾞｨﾌﾟﾄ,ad97,,,,,
,,○,,,,,BUX CB,,,,Duchess,,rex,,Wm Bull  cat.,London,1883 ad97,ﾀﾞｯﾁｪｽ,ad97,,,,,
,,○,,,,,BUX,,,,Dueling Swords,Lenore Olivier x albo- picta,cane,white,Brad Thompson,CA,1990 ad97,ﾃﾞｭｰﾘﾝｸﾞ･ｿｰｽﾞ,ad97,,,,,
,,,,,,,BUX,,,,Duke of Orange,,tuber hyb.,orange,Jackson/Perkings,,"ad'92,ad97",ﾃﾞｭｰｸ･ｵﾌﾞ･ｵﾚﾝｼﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Dundar,Elaine x partita,cane,,Asmussen,TX,1985 ad97,ﾀﾞﾝﾀﾞｰ,ad97,,,,,
,,○,,,,,BUX,,,,Dunfield,Irene Nuss x lubbersii,cane,,Nuss,CA,1988 ad97,ﾀﾞﾝﾌｨｰﾙﾄﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Dusk,,rhiz,,Hazel Burley,Aust.,1992Sep ad97,ﾀﾞｽｸ,ad97,,,,,
,,○,,,,,BUX,,,,Dusky,Kristy x unk.,cane,,Asmussen,TX,1985 ad97,ﾀﾞｽｷｰ,ad97,,,,,
,,○,,,,,BUX,,,,Earth Angel,Jim Wyrtzen x unk.,cane,pink,Dworkin,NY,1990 ad97,ｱｰｽ･ｴﾝｼﾞｪﾙ,ad97,,,,,
,,○,,,,,BUX,,,,Ester Parade,Philippine cane x solananthera,cane,,Nuss,CA,ad97,ｴｽﾀｰ･ﾊﾟﾚｲﾄﾞ,ad97,,,,,
,,○,,,,,JBS2,,,,Echo,Filigree x Ella Marguerite,rex,,Misono I.,Japan,1987 ad97,ｴｺｰ,ad97,,,,,○
,,○,,,,,BUX,,,,Eddie Sakamoto,Jumbo Jet x Orange Rubra,cane,pink,Brad Thompson,CA,1990 ad97,ｴﾃﾞｨ･ｻｶﾓﾄ,ad97,,,,,
,,○,,,,,BUX,,,,Edna Redenbacher,Jumbo Jet x dregei Glasgow,cane,pink,Brad Thompson,CA,1990 ad97,ｴﾄﾞﾅ･ﾘｰﾃﾞﾝﾊﾞｯﾊｰ,ad97,,,,,○
,,○,,,,,BUX CB,,,,Edouard Andre,,rex,,Wm Bull  cat.,London,1883 ad97,ｴﾄﾞｩｱｰﾙ･ｱﾝﾄﾞﾚ,ad97,,,,,
,,○,,,,,BUX CB,,,,Ed. Pynaert,,rex,,Wm Bull  cat.,London,1883 ad97,ｴﾄﾞ・ﾋﾟﾅｰﾄ,ad97,,,,,
,,○,,,,,BUX,,,,Egypt,Peggy Frost x unk.,rhiz,pink,Brad Thompson,CA,1992 ad97,ｴｼﾞﾌﾟﾄ,ad97,,,,,
,,○,,,,,JBS3,,,,Eikow,Amaterasu x Yokagura,cane,,Kawanami J.,Japan,1985 ad97,ｴｲｺｳ            　（栄光）,ad97,,,,,○
,,○,,,,,BUX CB,,,,Elaine,,rex,,Wm Bull  cat.,London,1883 ad97,ｴﾚｰﾇ,ad97,,,,,
,,○,,,,,BUX,,,,Elda Regimbal,Lenore Olivier x Kentwood,cane,pink,Nuss,CA,1991 ad97,ｴﾙﾀﾞ･ﾚｼﾞﾝﾊﾞﾙ,ad97,,,,,
,,○,,,,,BUX,,,,Elegant Beauty,,z,,Caviness,OK,ad97,ｴﾚｶﾞﾝﾄ･ﾋﾞｭｰﾃｨｰ,ad97,,,,,
,,○,,,,,BUX,,,,Elven Ears,Lenore Olivier x pearcei,cane,red,Brad Thompson,CA,1990 ad97,ｴﾙﾍﾞﾝ･ ｲｱｰｽﾞ,ad97,,,,,
,,○,,,,,AA yamaguchi,,,,"Emerald Forest
」",decora x Rosetta,rex,,Yamaguchi H.,Japan,1995 ad97,ｴﾒﾗﾙﾄﾞ･ﾌｫﾚｽﾄ,ad97,,,,,○
,,○,,,,,BUX CB,,,,Emile Chate,,rex,,Wm Bull  cat.,London,1883 ad97,ｴﾐｰﾙ･ｼｬｯﾄ,ad97,,,,,
,,,,,,,BUX,,,,Encore series semp,,semp,var.col.,Ball Seed,Chicago Gr,Jul 90 ad97,ｱﾝｺｰﾙ･ｼﾘｰｽﾞ･ｾﾝﾊﾟ,ad97,,,,,
,,○,,,,,BUX,,,,Eric Seel,Jumbo Jet x Orange Rubra,cane,red/orange,Brad Thompson,CA,1990 ad97,ｴﾘｯｸ･ｼｰﾙ,ad97,,,,,
,,○,,,,,BUX,,,,Erick the Red,Red Rubra x maculata,cane,red,Goldie Frost,CA,1988 ad97,ｴﾘｯｸ･ｻﾞ ﾚｯﾄﾞ,ad97,,,,,
,,○,,,,,BUX,,,,E. T.,In the Pink x Olei Silver Spot,cane,,Asmussen,TX,1989 ad97,Ｅ.･Ｔ.,ad97,,,,,
,,○,,,,,BUX JABS,,,,Eureka Bonanza,Sir Percy x Roi,rhiz,,Yorke,Aust.,(4) ad97,ﾕｰﾚｶ･ﾎﾞﾅﾝｻﾞ,ad97,,,,,○
,,○,,,,,BUX,,,,Evee-Bee,Kenlo x suffruticosa,cane,,Asmussen,TX,1984 ad97,ｴﾋﾞｰ･ﾋﾞｰ,ad97,,,,,
,,○,,,,,BUX AUST,,,,Everflowering,,cane,coral/red,Prob.,Aust.,1992May ad97,ｴﾊﾞｰﾌﾗﾜﾘﾝｸﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Evergreen,Olei Silver Spot x Lenore Olivier,cane,,Asmussen,TX,1986 ad97,ｴﾊﾞｰｸﾞﾘｰﾝ,ad97,,,,,
,,○,,,,,AA yamaguchi,,,,Fable,Miss Pretty x Emerald Giant,rex,,Yamaguchi H.,Japan,1995 ad97,ﾌｪｲﾌﾞﾙ,ad97,,,,,○
,,○,,,,,BUX,,,,Feded Lady,Mary Sakamoto x Silver Mist,cane,pink,Brad Thompson,CA,1992 ad97,ﾌｪｲﾃﾞｯﾄﾞ･ﾚﾃﾞｨｰ,ad97,,,,,
,,○,,,,,BUX,,,,Feded Love,Silver Mist x Pinafore Sport,cane,red,Stewart,TX,1990 ad97,ﾌｪｲﾃﾞｯﾄﾞ･ﾗﾌﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Fairry Dust,,rhiz,,Caviness,OK,ad97,ﾌｪｱﾘｰ･ﾀﾞｽﾄ,ad97,,,,,
,,○,,,,,BUX ACL,,,,Fairy Fantasy,Fairyland x unk.,rhiz,pink,Yorke,Aust.,1993Acl#33ad97,ﾌｪｱﾘｰ･ﾌｧﾝﾀｼﾞｰ,ad97,,,,,
,,○,,,,,BUX,,,,Fan Dancer,,rhiz,,Caviness,OK,ad97,ﾌｧﾝ･ﾀﾞﾝｻｰ,ad97,,,,,
,,○,,,,,BUX,,,,Fancy Stepper,,z,,Caviness,OK,ad97,ﾌｧﾝｼｰ･ｽﾃｯﾊﾟｰ,ad97,,,,,
,,○,,,,,JBS2,,,,Fashion,Spiral King x Ojai,rex,,Misono I.,Japan,1979 ad97,ﾌｧｯｼｮﾝ,ad97,,,,,○
,,○,,,,,BUX,,,,Fiesta Fling,Jumbo Jet x Sophie Cecile,cane,pink,Brad Thompson,CA,1992 ad97,ﾌｨｴｽﾀ･ﾌﾗｲﾝｸﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Fiesta Texas,Purple Star x Helen Townsend,rhiz,pink,Stewart,TX,1993 ad97,ﾌｨｴｽﾀ･ﾃｷｻｽ,ad97,,,,,○'95
,,○,,,,,BUX CB,,,,Finette,,rex,,Wm Bull  cat.,London,1883 ad97,ﾌｨﾈｯﾀ,ad97,,,,,
,,○,,,,,BUX,,,,Finky Flake,Silver Mist x Pinafore Sport,cane,pink,Stewart,TX,1990 ad97,ﾌｨﾝｷｨ･ﾌﾚｲｸ,ad97,,,,,○'95
,,,,,,,BUX Aust,,,,Fire-Dance,,tuber hyb.,gold/orang,94/95 releases,B&L,Jun94 ad97,ﾌｧｲｱｰ・ﾀﾞﾝｽ,ad97,,,,,
,,○,,,,,BUX,,,,Firewalker,Hanna Serr x Olei Silver Spot,cane,red,Brad Thompson,CA,1992 ad97,ﾌｧｲｱｰｳｫｰｶｰ,ad97,,,,,
,,○,,,,,BUX,,,,Flamenco Dancer,Mary Sakamoto x Alamo Melba,cane,red,Brad Thompson,CA,1992 ad97,ﾌﾗﾒﾝｺ･ﾀﾞﾝｻｰ,ad97,,,,,
,,○,,,,,BUX Beg'80,,,,Flamboyant,Sir Percy x unk.,rhiz,,Yorke,Aust.,1992Sep ad97,ﾌﾗﾝﾎﾞｲｱﾝﾄ,ad97,,,,,○
,,○,,,,,BUX,,,,Flamingo,dichroa x undulata,cane,,H. Rosecroft G.,CA,1952 (4)ad97,ﾌﾗﾐﾝｺﾞ,ad97,,,,,○'65
,,○,,,,,ABS R#983,,,,Flamingo Queen,U078 x Lenore Olivier,cane,pink,Bolwell,Aust.,p 141/142adp7,ﾌﾗﾐﾝｺﾞ･ｸｨｰﾝ,ad97,,,,,○'94
,,○,,,,,BUX RBH,,,,Flamma No10　　Noir ?,,rhiz,,Tsamtsis,CA,1991cat ad97,ﾌﾗﾏ・Ｎｏ 10    ﾌﾗﾏ･ﾉｱｰ ?,ad97,,,,,
,,○,,,,,BUX MLT,,,,Flammarion,Gloire de jouy x rubra,cane,crimson,Shepherd,CA,1897 ad97,ﾌﾗﾏﾘｵﾝ,ad97,,,,,
,,○,,,,,BUX CB,,,,Floire de Montereau,,rex,,Wm Bull  cat.,London,1883 ad97,ﾌﾛﾜｰ･ﾄﾞｩ･ﾓﾝﾄﾘｭ-,ad97,,,,,
,,○,,,,,BUX,,,,Flyaway,In the Pink x Elaine,cane,,Asmussen,TX,1986 ad97,ﾌﾗｲｱｳｪｲ,ad97,,,,,○
,,○,,,,,BUX,,,,Fontanna,Harbison Canyon x Bokit,rhiz,white,Stewart,TX,1991 ad97,ﾌｫﾝﾀﾅ,ad97,,,,,
,,○,,,,,BUX,,,,Forest Glade,,rhiz,,Hanzel Burley,Aust.,1992Sep ad97,ﾌｫｰﾚｽﾄ･ｸﾞﾚｲﾄﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Foxy Lady,Rip Van Winkle x Delta,rhiz,white,Stewart,TX,1991 ad97,ﾌｫｸｼｰ･ﾚﾃﾞｨ-,ad97,,,,,
,,,,,,,BUX,,,,Fragrant Apricot,→ Golden Anniversary,tuber hyb.,,G.S.Bulb Growers,ABS#926,Aug'88 ad97,ﾌﾗｸﾞﾗﾝﾄ･ｱﾌﾟﾘｺｯﾄ,ad97,,,,,
,,,,,,,BUX,,,,Fragrant Nectarine Rose,→ Sweet Diane,tuber hyb.,,G.S.Bulb Growers,ABS#921,Aug'88 ad97,ﾌﾗｸﾞﾗﾝﾄ･ﾈｸﾀﾘﾝ･ﾛｰｽﾞ,ad97,,,,,
,,○,,,,,AA ashizawa,,,,Fragrant Pink,solananthera x limmingheiana,trail/scand,pink,Ashizawa A.,Japan,1976 ad97,ﾌﾗｸﾞﾗﾝﾄ･ﾋﾟﾝｸ,ad97,,,,,○
,,○,,,,,JBS3,,,,Franccerna,Corallina de Lucerna x Frances Lyons,cane,,Hashimoto S.　,Japan,1970 ad97,ﾌﾗﾝﾁｪﾙﾅ,ad97,,,,,○
,,○,,,,,BUX,,,,Fred Barkley,,cane,,Caviness,OK,1989ad97,ﾌﾚｯﾄﾞ･ﾊﾞｰｸﾚｲ,ad97,,,,,
,,○,,,,,BUX,,,,Fright Night,,z,,Caviness,OK,ad97,ﾌﾗｲﾄ･ﾅｲﾄ,ad97,,,,,
,,○,,,,,BUX,,,,Frilly Dilly,,rhiz,,Caviness,OK,ad97,ﾌﾘﾘｰ･ﾃﾞｨﾘｰ,ad97,,,,,○
,,○,,,,,BUX,,,,Fringe Benefits,Alice N. x Dumbo,cane,pink,Brad Thompson,CA,1992 ad97,ﾌﾘﾝｼﾞ･ﾍﾞﾈﾌｨｯﾂ,ad97,,,,,
,,○,,,,,BUX,,,,Frodo,Jumbo Jet x Dumbo,cane,pink,Brad Thompson,CA,1991 ad97,ﾌﾛｯﾄﾞ,ad97,,,,,
,,○,,,,,ABS R#945,,,,Frostland,petasitifolia x sanguinea,thick/stem,white,Goldie Frost,CA,1984 ad97,ﾌﾛｽﾄﾗﾝﾄﾞ,ad97,,,,,
,,○,,,,,ABS R#944,,,,Frost's Yosemite,Margaret Taylor x maculata,cane,white,G. Frost,CA,1988 ad97,ﾌﾛｽﾂ･ﾖｾﾐﾃ,ad97,,,,,
,,○,,,,,BUX,,,,Frosty Imp,Sir Percy x unk.,rhiz,,Q. B. Soc.,Aust.,1992Sep ad97,ﾌﾛｽﾃｨ･ｲﾝﾌﾟ,ad97,,,,,
,,○,,,,,BUX,,,,Frosty Morn,Sir Percy x unk.,rhiz,,Mickey Meyer,Aust.,1992Sep ad97,ﾌﾛｽﾃｨ･ﾓｰﾝ,ad97,,,,,
,,○,,,,,JBS1,,,,Fubuki,unk.,rex,,Shigemi H.,Japan,1966 ad97,ﾌﾌﾞｷ　            （吹雪）,ad97,,,,,○
,,○,,,,,JBS3,,,,Fujimusume,Peter's Favorite x Wine's Roses,rex,,Misono I.,Japan,1966 ad97,ﾌｼﾞﾑｽﾒ　        （藤娘）,ad97,,,,,○
,,○,,,,,AA yamaguchi,,,,Fuji-no-akebono,Tenmoku x Tsujigahana,rex,,Yamaguchi H.,Japan,1994 ad97,ﾌｼﾞﾉｱｹﾎﾞﾉ    　（富士の曙）,ad97,,,,,○
,,○,,,,,AA yamaguchi,,,,Fuji-no-asahi,Tenmoku x Tsujigahana,rex,,Yamaguchi H.,Japan,1994 ad97,ﾌｼﾞﾉ ｱｻﾋ　      （富士の旭）,ad97,,,,,○
,,○,,,,,AA yamaguchi,,,,Fuji-no-yoake,Tenmoku x Tsujigahana,rex,,Yamaguchi H.,Japan,1994 ad97,ﾌｼﾞﾉﾖｱｹ       　（富士の夜明）,ad97,,,,,○
,,○,,,,,BUX CB,,,,Fulva,,rex,,Wm Bull  cat.,London,1883 ad97,ﾌﾙﾊﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Funny Farm,Cherry Jubilee x Ionic,cane,red,Stewart,TX,1991 ad97,ﾌｧﾆ-･ﾌｧｰﾑ,ad97,,,,,
,,○,,,,,BUX,,,,Gandalf,Alice N. x Dumbo,cane,red,Brad Thompson,CA,1992 ad97,ｶﾞﾝﾀﾞﾙﾌ,ad97,,,,,
,,○,,,,,BUX JABS,,,,Ga-Ra-Gai,,rhiz,,Meyer,Aust.,(4) ad97,ｶﾞ･ﾗ･ｶﾞｲ,ad97,,,,,
